"","count","n","col4","col3","col2","col1","output"
"159",112,5,"keep","up","the","great","work"
"160",112,5,"the","first","half","of","the"
"161",112,5,"the","first","round","of","the"
"162",111,5,"at","the","same","time","i"
"163",111,5,"i","would","love","to","see"
"164",111,5,"trying","to","figure","out","how"
"165",110,5,"i","just","finished","a","mi"
"166",110,5,"just","finished","a","mi","run"
"167",110,5,"on","my","way","to","the"
"168",110,5,"thanks","to","everyone","who","came"
"169",110,5,"to","everyone","who","came","out"
"170",109,5,"a","chance","to","win","a"
"171",109,5,"let","us","know","what","you"
"172",109,5,"spent","a","lot","of","time"
"173",108,5,"finished","a","mi","run","with"
"174",108,5,"going","to","be","a","long"
"175",107,5,"in","item","c","above","pp"
"176",107,5,"one","of","my","all","time"
"177",107,5,"there","is","no","such","thing"
"178",106,5,"rock","and","roll","hall","of"
"179",106,5,"to","the","rest","of","the"
"180",106,5,"we","had","a","great","time"
"181",106,5,"what","are","you","going","to"
"182",105,5,"but","at","the","end","of"
"183",105,5,"i","don't","know","what","to"
"184",105,5,"in","the","center","of","the"
"185",105,5,"the","rest","of","the","week"
"186",105,5,"to","the","end","of","the"
"187",104,5,"as","a","member","of","the"
"188",104,5,"i","have","to","say","that"
"189",104,5,"is","one","of","the","few"
"190",104,5,"was","one","of","the","most"
"191",103,5,"don't","know","what","to","do"
"192",103,5,"i","donâ","t","have","to"
"193",102,5,"i","don't","know","how","to"
"194",102,5,"if","you","are","interested","in"
"195",102,5,"may","or","may","not","be"
"196",102,5,"take","a","look","at","the"
"197",102,5,"to","go","back","to","the"
"198",101,5,"get","in","the","way","of"
"199",101,5,"i","think","it","would","be"
"200",101,5,"mothers","day","to","all","the"
"201",100,5,"you","donâ","t","want","to"
"202",99,5,"a","long","way","to","go"
"203",99,5,"as","a","matter","of","fact"
"204",99,5,"i","am","going","to","be"
"205",99,5,"mother's","day","to","all","the"
"206",99,5,"one","of","the","things","that"
"207",99,5,"this","is","one","of","those"
"208",99,5,"you","have","a","great","day"
"209",98,5,"a","means","for","sites","to"
"210",98,5,"a","participant","in","the","amazon"
"211",98,5,"advertising","and","linking","to","amazon.com"
"212",98,5,"advertising","fees","by","advertising","and"
"213",98,5,"amazon.ca","amazon.co.uk","amazon.de","amazon.fr","amazon.it"
"214",98,5,"amazon.co.uk","amazon.de","amazon.fr","amazon.it","and"
"215",98,5,"amazon.com","amazon.ca","amazon.co.uk","amazon.de","amazon.fr"
