"","count","n","col1","output"
"980",2525,2,"needed","to"
"981",2522,2,"along","the"
"982",2522,2,"the","government"
"983",2519,2,"the","family"
"984",2519,2,"weâ","re"
"985",2519,2,"would","you"
"986",2518,2,"for","example"
"987",2514,2,"be","there"
"988",2509,2,"the","number"
"989",2508,2,"looking","at"
"990",2508,2,"the","car"
"991",2507,2,"was","to"
"992",2506,2,"him","and"
"993",2506,2,"out","with"
"994",2504,2,"it","comes"
"995",2502,2,"in","love"
"996",2501,2,"a","different"
"997",2501,2,"do","a"
"998",2498,2,"since","i"
"999",2495,2,"may","not"
"1000",2492,2,"them","and"
"1001",2488,2,"things","that"
"1002",2487,2,"in","its"
"1003",2485,2,"they","would"
"1004",2484,2,"a","friend"
"1005",2483,2,"the","sun"
"1006",2479,2,"a","single"
"1007",2478,2,"years","of"
"1008",2476,2,"gonna","be"
"1009",2475,2,"but","this"
"1010",2475,2,"where","you"
"1011",2470,2,"we","got"
"1012",2464,2,"comes","to"
"1013",2462,2,"san","francisco"
"1014",2461,2,"use","of"
"1015",2458,2,"the","main"
"1016",2456,2,"you","so"
"1017",2455,2,"it","just"
"1018",2455,2,"same","time"
"1019",2455,2,"see","it"
"1020",2454,2,"and","make"
"1021",2454,2,"miss","you"
"1022",2451,2,"ability","to"
"1023",2446,2,"that","have"
"1024",2441,2,"thinking","about"
"1025",2441,2,"to","them"
"1026",2440,2,"what","was"
"1027",2438,2,"to","sleep"
"1028",2437,2,"of","being"
"1029",2434,2,"is","more"
"1030",2428,2,"be","an"
"1031",2426,2,"to","let"
"1032",2423,2,"just","the"
"1033",2423,2,"of","new"
"1034",2421,2,"think","it"
"1035",2419,2,"the","biggest"
"1036",2419,2,"why","i"
"1037",2415,2,"the","week"
"1038",2412,2,"would","love"
"1039",2411,2,"me","know"
"1040",2409,2,"piece","of"
"1041",2409,2,"that","my"
"1042",2407,2,"the","very"
"1043",2405,2,"the","worst"
"1044",2404,2,"you","too"
"1045",2403,2,"was","on"
"1046",2398,2,"with","him"
"1047",2396,2,"my","friend"
"1048",2396,2,"social","media"
"1049",2395,2,"on","friday"
"1050",2395,2,"the","movie"
"1051",2393,2,"when","a"
"1052",2392,2,"sure","to"
"1053",2392,2,"use","the"
"1054",2391,2,"even","more"
"1055",2387,2,"i","say"
"1056",2387,2,"the","door"
"1057",2386,2,"made","the"
"1058",2384,2,"deal","with"
"1059",2384,2,"group","of"
"1060",2383,2,"easy","to"
"1061",2381,2,"happy","to"
"1062",2380,2,"every","time"
"1063",2377,2,"think","the"
"1064",2375,2,"your","life"
"1065",2372,2,"back","on"
"1066",2371,2,"his","first"
"1067",2368,2,"it","as"
"1068",2364,2,"with","them"
"1069",2360,2,"i","felt"
"1070",2360,2,"that's","a"
"1071",2360,2,"told","the"
"1072",2359,2,"a","woman"
"1073",2359,2,"up","at"
"1074",2358,2,"little","bit"
"1075",2357,2,"is","all"
"1076",2356,2,"find","out"
"1077",2355,2,"we","don't"
"1078",2354,2,"a","game"
"1079",2354,2,"the","american"
"1080",2354,2,"the","money"
"1081",2353,2,"a","â"
"1082",2353,2,"so","it"
"1083",2353,2,"university","of"
"1084",2351,2,"and","just"
"1085",2351,2,"is","very"
"1086",2349,2,"the","bottom"
"1087",2346,2,"at","p.m"
"1088",2343,2,"opportunity","to"
"1089",2342,2,"because","he"
"1090",2340,2,"me","the"
"1091",2337,2,"am","not"
"1092",2336,2,"might","have"
"1093",2336,2,"t","know"
"1094",2336,2,"with","us"
"1095",2335,2,"year","and"
"1096",2334,2,"is","your"
"1097",2332,2,"and","had"
"1098",2332,2,"at","work"
"1099",2331,2,"have","some"
"1100",2330,2,"and","are"
"1101",2329,2,"the","point"
"1102",2328,2,"long","as"
"1103",2327,2,"only","a"
"1104",2324,2,"the","university"
"1105",2322,2,"of","life"
"1106",2321,2,"the","weekend"
"1107",2318,2,"they","do"
"1108",2317,2,"list","of"
"1109",2316,2,"see","a"
"1110",2316,2,"the","film"
"1111",2315,2,"make","me"
"1112",2309,2,"become","a"
"1113",2308,2,"we","should"
"1114",2307,2,"the","law"
"1115",2306,2,"hope","to"
"1116",2306,2,"that","can"
"1117",2305,2,"and","no"
"1118",2305,2,"have","had"
"1119",2300,2,"over","a"
"1120",2298,2,"willing","to"
"1121",2297,2,"a","wonderful"
"1122",2297,2,"that's","what"
"1123",2296,2,"and","on"
"1124",2294,2,"work","on"
"1125",2292,2,"a","more"
"1126",2291,2,"made","me"
"1127",2291,2,"said","she"
"1128",2287,2,"sounds","like"
"1129",2285,2,"i","started"
"1130",2285,2,"my","friends"
"1131",2281,2,"to","check"
"1132",2278,2,"have","any"
"1133",2277,2,"are","still"
"1134",2277,2,"it's","been"
"1135",2276,2,"behind","the"
"1136",2276,2,"today","is"
"1137",2275,2,"took","a"
"1138",2274,2,"the","truth"
"1139",2272,2,"time","of"
"1140",2269,2,"i","might"
"1141",2269,2,"is","there"
"1142",2268,2,"throughout","the"
"1143",2267,2,"could","not"
"1144",2263,2,"like","you"
"1145",2263,2,"we","could"
"1146",2262,2,"a","full"
"1147",2258,2,"so","excited"
"1148",2257,2,"he","could"
"1149",2256,2,"plenty","of"
"1150",2244,2,"on","saturday"
"1151",2242,2,"believe","that"
"1152",2242,2,"do","this"
"1153",2242,2,"president","of"
"1154",2242,2,"something","that"
"1155",2236,2,"theyâ","re"
"1156",2233,2,"was","one"
"1157",2232,2,"the","problem"
"1158",2232,2,"through","a"
"1159",2232,2,"type","of"
"1160",2229,2,"known","as"
"1161",2228,2,"where","he"
"1162",2226,2,"a","book"
"1163",2221,2,"come","on"
"1164",2221,2,"just","to"
"1165",2220,2,"the","front"
"1166",2218,2,"be","more"
"1167",2218,2,"but","there"
"1168",2218,2,"how","you"
"1169",2218,2,"set","up"
"1170",2218,2,"the","name"
"1171",2213,2,"her","to"
"1172",2212,2,"after","all"
"1173",2211,2,"to","spend"
"1174",2208,2,"his","wife"
"1175",2208,2,"home","and"
"1176",2206,2,"then","the"
"1177",2206,2,"way","of"
"1178",2204,2,"is","like"
"1179",2203,2,"all","about"
"1180",2202,2,"go","back"
"1181",2195,2,"get","out"
"1182",2195,2,"right","to"
"1183",2194,2,"as","long"
"1184",2192,2,"the","board"
"1185",2191,2,"from","his"
"1186",2188,2,"members","of"
"1187",2188,2,"one","thing"
"1188",2186,2,"but","when"
"1189",2186,2,"likely","to"
"1190",2186,2,"on","monday"
"1191",2185,2,"of","â"
"1192",2184,2,"that","if"
"1193",2179,2,"he","can"
"1194",2178,2,"in","addition"
"1195",2178,2,"it","but"
"1196",2178,2,"pick","up"
"1197",2177,2,"you","might"
"1198",2169,2,"i","remember"
"1199",2167,2,"watching","the"
"1200",2163,2,"the","federal"
"1201",2162,2,"not","in"
"1202",2161,2,"me","on"
"1203",2160,2,"some","people"
"1204",2157,2,"come","back"
"1205",2152,2,"many","people"
"1206",2150,2,"focus","on"
"1207",2143,2,"had","no"
"1208",2142,2,"a","beautiful"
"1209",2142,2,"here","and"
"1210",2142,2,"not","even"
"1211",2138,2,"to","become"
"1212",2134,2,"he","also"
"1213",2134,2,"life","and"
"1214",2133,2,"is","for"
"1215",2132,2,"place","to"
"1216",2132,2,"we","want"
"1217",2131,2,"about","that"
"1218",2131,2,"the","things"
"1219",2129,2,"we","get"
"1220",2128,2,"version","of"
"1221",2125,2,"plans","to"
"1222",2121,2,"about","what"
"1223",2119,2,"the","moment"
"1224",2118,2,"million","in"
"1225",2116,2,"a","free"
"1226",2115,2,"the","street"
"1227",2115,2,"while","i"
"1228",2113,2,"on","and"
"1229",2113,2,"there","will"
"1230",2113,2,"work","with"
"1231",2112,2,"a","half"
"1232",2112,2,"the","process"
"1233",2111,2,"san","diego"
"1234",2111,2,"the","event"
"1235",2109,2,"can","make"
"1236",2108,2,"and","see"
"1237",2107,2,"we","would"
"1238",2105,2,"come","out"
"1239",2103,2,"coming","to"
"1240",2102,2,"go","on"
"1241",2102,2,"it","could"
"1242",2102,2,"the","ground"
"1243",2100,2,"i","decided"
"1244",2100,2,"the","white"
"1245",2099,2,"the","area"
"1246",2099,2,"they","don't"
"1247",2097,2,"was","that"
"1248",2096,2,"the","water"
"1249",2090,2,"down","and"
"1250",2088,2,"yes","i"
"1251",2083,2,"see","how"
"1252",2081,2,"one","that"
"1253",2080,2,"i","wanna"
"1254",2079,2,"half","of"
"1255",2079,2,"the","air"
"1256",2079,2,"to","ask"
"1257",2078,2,"to","call"
"1258",2077,2,"a","place"
"1259",2075,2,"these","are"
"1260",2074,2,"thousands","of"
"1261",2073,2,"nice","to"
"1262",2072,2,"day","in"
"1263",2071,2,"and","said"
"1264",2070,2,"any","other"
"1265",2070,2,"have","not"
"1266",2069,2,"be","at"
"1267",2069,2,"â","said"
"1268",2068,2,"that","could"
"1269",2064,2,"for","one"
"1270",2064,2,"friends","and"
"1271",2063,2,"i","go"
"1272",2062,2,"two","of"
"1273",2062,2,"with","no"
"1274",2061,2,"it","doesn't"
"1275",2058,2,"the","three"
"1276",2057,2,"a","job"
"1277",2056,2,"for","following"
"1278",2054,2,"did","i"
"1279",2051,2,"department","of"
"1280",2051,2,"the","field"
"1281",2047,2,"welcome","to"
"1282",2043,2,"m","not"
"1283",2042,2,"last","month"
"1284",2042,2,"too","many"
"1285",2041,2,"will","get"
"1286",2040,2,"but","also"
"1287",2038,2,"a","special"
"1288",2038,2,"in","for"
"1289",2036,2,"at","that"
"1290",2036,2,"i","dont"
"1291",2035,2,"the","original"
"1292",2032,2,"member","of"
"1293",2031,2,"on","top"
"1294",2031,2,"something","to"
"1295",2029,2,"wonâ","t"
"1296",2026,2,"on","how"
"1297",2025,2,"you","go"
"1298",2021,2,"and","of"
"1299",2020,2,"is","being"
"1300",2018,2,"care","of"
"1301",2016,2,"a","number"
"1302",2016,2,"work","and"
"1303",2014,2,"get","back"
"1304",2014,2,"now","and"
"1305",2008,2,"the","beginning"
"1306",2007,2,"on","an"
"1307",2001,2,"and","be"
"1308",2000,2,"i","find"
"1309",1998,2,"to","build"
"1310",1997,2,"one","is"
"1311",1995,2,"is","good"
"1312",1994,2,"in","other"
"1313",1994,2,"not","that"
"1314",1992,2,"health","care"
"1315",1992,2,"i","didnâ"
"1316",1990,2,"what","happened"
"1317",1987,2,"to","add"
"1318",1985,2,"rt","i"
"1319",1981,2,"how","it"
"1320",1981,2,"know","it"
"1321",1980,2,"so","good"
"1322",1979,2,"the","current"
"1323",1977,2,"here","are"
"1324",1976,2,"there","and"
"1325",1976,2,"will","never"
"1326",1975,2,"during","a"
"1327",1975,2,"how","are"
"1328",1974,2,"within","the"
"1329",1973,2,"proud","of"
"1330",1972,2,"that's","the"
"1331",1972,2,"to","us"
"1332",1971,2,"at","me"
"1333",1968,2,"the","group"
"1334",1967,2,"no","idea"
"1335",1966,2,"the","following"
"1336",1964,2,"why","do"
"1337",1963,2,"been","in"
"1338",1962,2,"i","took"
"1339",1962,2,"i","wonder"
"1340",1962,2,"these","days"
"1341",1961,2,"a","group"
"1342",1961,2,"and","with"
"1343",1961,2,"over","to"
"1344",1961,2,"the","internet"
"1345",1960,2,"also","a"
"1346",1960,2,"get","my"
"1347",1960,2,"is","always"
"1348",1956,2,"be","sure"
"1349",1956,2,"few","days"
"1350",1955,2,"much","for"
"1351",1953,2,"of","which"
"1352",1952,2,"but","then"
"1353",1950,2,"you","got"
"1354",1949,2,"were","a"
"1355",1948,2,"we","know"
"1356",1947,2,"it","had"
"1357",1946,2,"middle","of"
"1358",1946,2,"pay","for"
"1359",1945,2,"end","up"
"1360",1945,2,"it","does"
"1361",1945,2,"the","work"
"1362",1943,2,"i'm","sure"
"1363",1943,2,"is","really"
"1364",1943,2,"say","the"
"1365",1942,2,"idea","of"
"1366",1940,2,"i","told"
"1367",1940,2,"this","month"
"1368",1931,2,"me","up"
"1369",1930,2,"were","the"
"1370",1929,2,"was","no"
"1371",1927,2,"near","the"
"1372",1927,2,"the","lord"
"1373",1926,2,"years","and"
"1374",1925,2,"it","makes"
"1375",1922,2,"see","if"
"1376",1921,2,"out","that"
"1377",1920,2,"the","county"
"1378",1918,2,"the","latest"
"1379",1916,2,"a","part"
"1380",1915,2,"well","i"
"1381",1914,2,"but","she"
"1382",1914,2,"with","our"
"1383",1912,2,"a","million"
"1384",1912,2,"couldnâ","t"
"1385",1910,2,"good","for"
"1386",1909,2,"a","person"
"1387",1908,2,"my","family"
"1388",1907,2,"from","to"
"1389",1907,2,"know","you"
"1390",1906,2,"you","on"
"1391",1904,2,"of","how"
"1392",1903,2,"love","that"
"1393",1902,2,"give","me"
"1394",1902,2,"him","in"
"1395",1901,2,"a","high"
"1396",1901,2,"than","i"
"1397",1901,2,"you","the"
"1398",1900,2,"next","time"
"1399",1898,2,"pretty","much"
"1400",1898,2,"you","had"
"1401",1897,2,"keep","the"
"1402",1895,2,"the","power"
"1403",1894,2,"said","they"
"1404",1893,2,"in","any"
"1405",1892,2,"get","in"
"1406",1889,2,"or","two"
"1407",1885,2,"it's","just"
"1408",1884,2,"plan","to"
"1409",1883,2,"figure","out"
"1410",1883,2,"over","and"
"1411",1881,2,"state","of"
"1412",1878,2,"it","takes"
"1413",1878,2,"will","take"
"1414",1877,2,"a","team"
"1415",1875,2,"called","the"
"1416",1875,2,"hit","the"
"1417",1870,2,"work","in"
"1418",1869,2,"the","little"
"1419",1869,2,"to","and"
"1420",1866,2,"not","so"
"1421",1865,2,"as","she"
"1422",1865,2,"has","not"
"1423",1865,2,"you","feel"
"1424",1864,2,"the","music"
"1425",1862,2,"the","floor"
"1426",1862,2,"the","person"
"1427",1862,2,"we","just"
"1428",1861,2,"me","too"
"1429",1860,2,"the","job"
"1430",1860,2,"the","summer"
"1431",1859,2,"i","look"
"1432",1857,2,"a","major"
"1433",1857,2,"time","with"
"1434",1856,2,"the","room"
"1435",1855,2,"great","day"
"1436",1854,2,"i'm","just"
"1437",1854,2,"love","and"
"1438",1853,2,"and","at"
"1439",1852,2,"an","amazing"
"1440",1852,2,"my","way"
"1441",1852,2,"was","also"
"1442",1851,2,"thought","it"
"1443",1850,2,"the","police"
"1444",1849,2,"read","the"
"1445",1849,2,"this","summer"
"1446",1849,2,"your","favorite"
"1447",1847,2,"are","some"
"1448",1847,2,"on","sunday"
"1449",1844,2,"wake","up"
"1450",1843,2,"three","years"
"1451",1843,2,"were","in"
"1452",1841,2,"my","husband"
"1453",1839,2,"they","could"
"1454",1839,2,"they","want"
"1455",1839,2,"ve","been"
"1456",1838,2,"the","place"
"1457",1833,2,"find","the"
"1458",1832,2,"a","child"
"1459",1831,2,"get","your"
"1460",1830,2,"trip","to"
"1461",1828,2,"about","you"
"1462",1826,2,"family","and"
"1463",1826,2,"me","for"
"1464",1823,2,"if","u"
"1465",1823,2,"the","rt"
"1466",1822,2,"to","school"
"1467",1821,2,"i","read"
"1468",1819,2,"other","than"
"1469",1817,2,"get","some"
"1470",1816,2,"even","the"
"1471",1815,2,"go","out"
"1472",1815,2,"shout","out"
"1473",1813,2,"let","us"
"1474",1813,2,"to","provide"
"1475",1810,2,"it","the"
"1476",1808,2,"we","love"
"1477",1808,2,"you","love"
"1478",1807,2,"give","you"
"1479",1806,2,"won't","be"
"1480",1805,2,"a","really"
"1481",1804,2,"someone","who"
"1482",1803,2,"let","the"
"1483",1803,2,"will","do"
"1484",1802,2,"that","makes"
"1485",1802,2,"was","very"
"1486",1801,2,"put","the"
"1487",1801,2,"want","a"
"1488",1800,2,"who","will"
"1489",1799,2,"if","your"
"1490",1799,2,"see","that"
"1491",1799,2,"were","not"
"1492",1797,2,"to","pick"
"1493",1794,2,"are","on"
"1494",1794,2,"that","way"
"1495",1794,2,"to","bed"
"1496",1793,2,"and","two"
"1497",1793,2,"to","one"
"1498",1792,2,"i'm","in"
"1499",1791,2,"it","also"
"1500",1789,2,"don't","get"
"1501",1788,2,"a","pretty"
"1502",1786,2,"where","they"
"1503",1784,2,"or","so"
"1504",1783,2,"the","early"
"1505",1783,2,"watch","the"
"1506",1781,2,"which","has"
"1507",1780,2,"follow","back"
"1508",1779,2,"put","it"
"1509",1778,2,"the","bill"
"1510",1776,2,"making","a"
"1511",1775,2,"no","more"
"1512",1775,2,"of","any"
"1513",1774,2,"on","tuesday"
"1514",1774,2,"two","weeks"
"1515",1774,2,"without","a"
"1516",1773,2,"starting","to"
"1517",1771,2,"all","you"
"1518",1771,2,"still","have"
"1519",1768,2,"a","former"
"1520",1768,2,"create","a"
"1521",1767,2,"a","statement"
"1522",1767,2,"the","former"
"1523",1766,2,"today","i"
"1524",1766,2,"won","the"
"1525",1762,2,"addition","to"
"1526",1762,2,"bunch","of"
"1527",1761,2,"i","may"
"1528",1761,2,"it","wasn't"
"1529",1761,2,"series","of"
"1530",1761,2,"â","œwe"
"1531",1759,2,"the","court"
"1532",1758,2,"soon","as"
"1533",1755,2,"is","at"
"1534",1755,2,"was","at"
"1535",1754,2,"and","let"
"1536",1754,2,"came","out"
"1537",1754,2,"take","it"
"1538",1753,2,"am","so"
"1539",1753,2,"using","the"
"1540",1752,2,"about","my"
"1541",1748,2,"the","perfect"
"1542",1748,2,"this","point"
"1543",1747,2,"access","to"
"1544",1747,2,"its","own"
"1545",1746,2,"filled","with"
"1546",1746,2,"hundreds","of"
"1547",1745,2,"people","and"
"1548",1745,2,"to","support"
"1549",1743,2,"few","years"
"1550",1743,2,"my","phone"
"1551",1743,2,"one","in"
"1552",1741,2,"though","i"
"1553",1740,2,"had","an"
"1554",1740,2,"place","in"
"1555",1734,2,"will","make"
"1556",1733,2,"on","thursday"
"1557",1732,2,"including","the"
"1558",1731,2,"great","to"
"1559",1730,2,"the","home"
"1560",1729,2,"for","what"
"1561",1729,2,"i","couldn't"
"1562",1728,2,"all","this"
"1563",1727,2,"of","things"
"1564",1726,2,"my","dad"
"1565",1725,2,"new","year"
"1566",1725,2,"quite","a"
"1567",1724,2,"getting","a"
"1568",1721,2,"much","to"
"1569",1721,2,"the","question"
