"","count","n","col3","col2","col1","output"
"179",370,4,"be","one","of","the"
"180",370,4,"donâ","t","have","to"
"181",370,4,"executive","director","of","the"
"182",369,4,"i","donâ","t","have"
"183",369,4,"the","side","of","the"
"184",368,4,"did","you","know","that"
"185",367,4,"it","was","a","great"
"186",364,4,"â","œi","donâ","t"
"187",363,4,"in","the","back","of"
"188",362,4,"i","had","no","idea"
"189",362,4,"in","one","of","the"
"190",362,4,"to","be","part","of"
"191",362,4,"to","take","care","of"
"192",361,4,"this","is","going","to"
"193",360,4,"i","want","to","do"
"194",360,4,"not","going","to","be"
"195",360,4,"this","is","not","a"
"196",357,4,"one","of","the","first"
"197",356,4,"and","the","rest","of"
"198",356,4,"thought","it","would","be"
"199",355,4,"to","be","a","part"
"200",354,4,"know","what","to","do"
"201",354,4,"the","first","time","since"
"202",353,4,"hope","all","is","well"
"203",351,4,"take","a","look","at"
"204",348,4,"those","of","you","who"
"205",348,4,"to","be","on","the"
"206",347,4,"if","you","have","any"
"207",347,4,"not","be","able","to"
"208",346,4,"iâ","m","not","sure"
"209",346,4,"you","have","to","do"
"210",344,4,"at","the","bottom","of"
"211",344,4,"i","don't","have","to"
"212",342,4,"it","will","be","a"
"213",342,4,"to","get","to","the"
"214",342,4,"you","have","to","be"
"215",341,4,"it","was","a","good"
"216",341,4,"one","of","the","few"
"217",340,4,"it","would","have","been"
"218",337,4,"would","love","to","see"
"219",334,4,"can't","wait","for","the"
"220",333,4,"and","a","lot","of"
"221",333,4,"at","a","time","when"
"222",333,4,"the","center","of","the"
"223",332,4,"in","the","face","of"
"224",331,4,"figure","out","how","to"
"225",331,4,"i","really","want","to"
"226",331,4,"if","you","are","a"
"227",331,4,"in","front","of","me"
"228",330,4,"in","a","long","time"
"229",329,4,"a","chance","to","win"
"230",328,4,"i","just","wanted","to"
"231",327,4,"i","love","you","so"
"232",326,4,"i'm","going","to","be"
"233",326,4,"some","of","the","most"
"234",326,4,"the","only","way","to"
"235",325,4,"from","time","to","time"
"236",324,4,"in","the","first","quarter"
"237",323,4,"and","one","of","the"
"238",323,4,"i","wish","i","was"
"239",323,4,"to","get","rid","of"
"240",321,4,"can","i","get","a"
"241",321,4,"have","no","idea","what"
"242",321,4,"this","time","of","year"
"243",320,4,"i'm","looking","forward","to"
"244",320,4,"i","don't","know","why"
"245",320,4,"you","would","like","to"
"246",319,4,"a","lot","of","things"
"247",319,4,"in","the","name","of"
"248",319,4,"the","rest","of","us"
"249",319,4,"the","united","states","and"
"250",318,4,"i","want","to","see"
"251",318,4,"some","of","the","best"
"252",318,4,"the","only","one","who"
"253",317,4,"in","an","effort","to"
"254",317,4,"was","supposed","to","be"
"255",316,4,"going","to","be","the"
"256",316,4,"in","the","way","of"
"257",316,4,"other","side","of","the"
"258",315,4,"end","of","the","year"
"259",315,4,"is","one","of","those"
"260",314,4,"to","make","sure","that"
"261",313,4,"the","front","of","the"
"262",312,4,"all","of","a","sudden"
"263",312,4,"i","don't","think","i"
"264",312,4,"one","of","the","things"
"265",311,4,"love","you","so","much"
"266",310,4,"the","end","of","this"
"267",310,4,"you","have","a","great"
"268",309,4,"didnâ","t","want","to"
"269",309,4,"from","a.m","to","p.m"
"270",309,4,"i","can't","wait","for"
"271",309,4,"me","know","if","you"
"272",309,4,"over","the","course","of"
"273",307,4,"contributed","to","this","report"
"274",307,4,"with","the","help","of"
"275",306,4,"hope","you","had","a"
"276",306,4,"to","be","a","good"
"277",305,4,"a","couple","of","years"
"278",305,4,"get","out","of","the"
"279",305,4,"in","the","process","of"
"280",302,4,"come","up","with","a"
"281",301,4,"for","the","sake","of"
"282",301,4,"in","front","of","a"
"283",301,4,"what","to","do","with"
"284",300,4,"as","long@you",NA,NA
"285",299,4,"in","and","out","of"
"286",298,4,"out","of","the","way"
"287",297,4,"with","a","lot","of"
"288",296,4,"may","or","may","not"
"289",296,4,"over","and","over","again"
"290",295,4,"all","over","the","world"
"291",295,4,"at","the","age","of"
"292",294,4,"a","spokesman","for","the"
"293",294,4,"i","think","it","is"
"294",294,4,"in","the","fourth","quarter"
"295",294,4,"it","has","been","a"
"296",294,4,"makes","me","want","to"
"297",294,4,"you","donâ","t","have"
"298",292,4,"i","don't","have","a"
"299",292,4,"the","time","of","the"
"300",292,4,"would","you","like","to"
"301",290,4,"and","i","donâ","t"
"302",289,4,"can't","wait","to","get"
"303",289,4,"i","didn't","want","to"
"304",289,4,"on","the","side","of"
"305",289,4,"the","first","day","of"
"306",289,4,"the","rest","of","my"
"307",288,4,"i","went","to","the"
"308",288,4,"it","was","the","first"
"309",288,4,"thanks","for","following","me"
"310",286,4,"had","a","chance","to"
"311",286,4,"i","thought","i","would"
"312",286,4,"thank","you","for","following"
"313",285,4,"as","you","can","see"
"314",285,4,"but","i","donâ","t"
"315",284,4,"all","over","the","place"
"316",284,4,"have","to","go","to"
"317",283,4,"a","few","of","the"
"318",283,4,"fell","in","love","with"
"319",282,4,"a","couple","of","days"
"320",282,4,"i","have","to","go"
"321",282,4,"i","thought","it","would"
"322",282,4,"in","the","wake","of"
"323",281,4,"i","was","in","the"
"324",280,4,"he","was","going","to"
"325",280,4,"i","thought","i","was"
"326",280,4,"the","size","of","the"
"327",279,4,"i","was","trying","to"
"328",279,4,"it","was","one","of"
"329",278,4,"is","a","lot","of"
"330",278,4,"once","in","a","while"
"331",278,4,"there","are","a","few"
"332",278,4,"to","figure","out","how"
"333",277,4,"said","in","an","interview"
"334",277,4,"the","last","time","i"
"335",277,4,"we","look","forward","to"
"336",276,4,"and","i","have","to"
"337",276,4,"as","a","way","to"
"338",275,4,"a","great","deal","of"
"339",275,4,"for","a","few","days"
"340",275,4,"this","is","what","i"
"341",272,4,"happy","mothers","day","to"
"342",272,4,"in","an","attempt","to"
"343",272,4,"let","us","know","if"
"344",270,4,"that","there","is","a"
"345",269,4,"at","the","start","of"
"346",269,4,"want","to","be","a"
"347",268,4,"happy","mother's","day","to"
"348",268,4,"i","am","not","a"
"349",268,4,"to","share","with","you"
"350",267,4,"all","the","way","to"
"351",267,4,"donâ","t","know","what"
"352",267,4,"if","you","would","like"
"353",266,4,"is","part","of","the"
"354",265,4,"a","big","fan","of"
"355",265,4,"be","able","to","get"
"356",264,4,"going","to","have","a"
"357",262,4,"it","was","time","to"
"358",262,4,"on","the","back","of"
"359",261,4,"a","lot","of","money"
"360",261,4,"in","the","history","of"
"361",260,4,"a","lot","of","work"
"362",260,4,"both","sides","of","the"
"363",260,4,"for","more","than","a"
"364",260,4,"have","been","able","to"
"365",260,4,"was","a","lot","of"
"366",260,4,"ðÿ","ðÿ","ðÿ","ðÿ"
"367",259,4,"have","to","do","is"
"368",259,4,"i","think","itâ","s"
"369",259,4,"more","than","a","year"
"370",259,4,"my","husband","and","i"
"371",259,4,"to","take","advantage","of"
"372",258,4,"out","to","be","a"
"373",257,4,"as","long@i",NA,NA
"374",257,4,"one","of","the","biggest"
"375",257,4,"was","the","first","time"
"376",256,4,"here","are","a","few"
"377",256,4,"nice","to","meet","you"
"378",256,4,"the","past","two","years"
"379",255,4,"thank","you","very","much"
"380",255,4,"thanks","for","the","retweet"
"381",255,4,"what","is","your","favorite"
"382",254,4,"of","one","of","the"
"383",254,4,"thanks","to","everyone","who"
"384",253,4,"the","heart","of","the"
"385",253,4,"the","only","thing","that"
"386",253,4,"you","for","the","follow"
"387",252,4,"do","you","have","any"
"388",251,4,"to","one","of","the"
"389",251,4,"you","know","what","i"
"390",250,4,"by","the","time","i"
"391",249,4,"i","really","need","to"
"392",249,4,"i","think","it","was"
"393",249,4,"it","was","going","to"
"394",249,4,"one","of","the","greatest"
"395",249,4,"the","way","to","the"
"396",248,4,"great","to","see","you"
"397",248,4,"i","can","tell","you"
"398",248,4,"there's","a","lot","of"
"399",248,4,"ã","ã","ã","ã"
"400",247,4,"i","want","you","to"
"401",247,4,"thanks","for","all","the"
"402",246,4,"for","a","chance","to"
"403",246,4,"i","was","a","little"
"404",246,4,"iâ","d","like","to"
"405",246,4,"this","is","a","great"
"406",245,4,"day","to","all","the"
"407",245,4,"not","being","able","to"
"408",245,4,"thank","you","to","all"
"409",244,4,"don't","want","to","be"
"410",244,4,"keep","up","the","good"
"411",244,4,"to","keep","up","with"
"412",244,4,"what","is","going","on"
"413",243,4,"don't","know","how","to"
"414",243,4,"one","of","the","reasons"
"415",243,4,"the","middle","of","a"
"416",243,4,"what","do","you","do"
"417",243,4,"when","i","was","in"
"418",242,4,"are","some","of","the"
"419",242,4,"get","a","chance","to"
"420",242,4,"is","supposed","to","be"
"421",241,4,"i","hope","you","have"
"422",241,4,"i","think","this","is"
"423",241,4,"to","the","point","where"
"424",240,4,"in","the","third","quarter"
"425",240,4,"it","was","just","a"
"426",238,4,"for","most","of","the"
"427",238,4,"forward","to","seeing","you"
"428",238,4,"i","feel","like","i'm"
"429",238,4,"i","wanted","to","be"
"430",238,4,"player","of","the","year"
"431",238,4,"they","are","going","to"
"432",237,4,"but","at","the","same"
"433",237,4,"tens","of","thousands","of"
"434",237,4,"to","the","fact","that"
"435",237,4,"weâ","re","going","to"
"436",237,4,"would","like","to","see"
"437",236,4,"in","the","next","few"
"438",236,4,"let","me","know","when"
"439",235,4,"and","the","fact","that"
"440",235,4,"back","in","the","day"
"441",235,4,"s","going","to","be"
"442",235,4,"to","the","united","states"
"443",234,4,"be","part","of","the"
"444",234,4,"i","need","to","go"
"445",234,4,"make","it","to","the"
"446",234,4,"there","is","a","lot"
"447",234,4,"there","is","no","way"
"448",234,4,"would","be","able","to"
"449",233,4,"i","have","to","admit"
"450",233,4,"let","me","know","what"
"451",233,4,"the","end","of","a"
"452",233,4,"we","were","going","to"
"453",232,4,"is","expected","to","be"
"454",232,4,"so","i","decided","to"
"455",231,4,"am","i","the","only"
"456",231,4,"and","i","want","to"
"457",231,4,"go","back","to","the"
"458",231,4,"have","a","chance","to"
"459",231,4,"there","are","plenty","of"
"460",230,4,"if","you","don't","have"
"461",230,4,"on","the","edge","of"
"462",230,4,"the","edge","of","the"
"463",230,4,"would","be","a","good"
"464",229,4,"be","sure","to","check"
"465",229,4,"i","think","i","have"
"466",229,4,"in","a","couple","of"
"467",228,4,"and","i","have","a"
"468",228,4,"have","to","worry","about"
"469",228,4,"one","of","the","top"
"470",228,4,"with","some","of","the"
"471",227,4,"as","far@i",NA,NA
"472",227,4,"the","last","couple","of"
"473",227,4,"the","majority","of","the"
"474",227,4,"to","be","a","great"
"475",226,4,"a","whole","lot","of"
"476",226,4,"be","able","to","do"
"477",226,4,"has","nothing","to","do"
"478",226,4,"know","what","you","think"
"479",226,4,"to","figure","out","what"
"480",225,4,"i","don't","even","know"
"481",225,4,"in","the","hands","of"
"482",225,4,"to","learn","how","to"
"483",225,4,"up","the","good","work"
"484",225,4,"you","can","see","the"
"485",224,4,"for@long","as",NA,NA
"486",224,4,"i","will","have","to"
"487",224,4,"in","the","right","direction"
"488",224,4,"on","a","daily","basis"
"489",224,4,"will","be","in","the"
"490",224,4,"you","just","have","to"
"491",223,4,"i","love","you","too"
"492",223,4,"thank","you","for","all"
"493",223,4,"thanks","for","the","support"
"494",223,4,"the","past","few","years"
"495",222,4,"a","look","at","the"
"496",222,4,"i","didnâ","t","know"
"497",222,4,"not","a","fan","of"
"498",222,4,"to","look","at","the"
"499",221,4,"is","not","going","to"
"500",221,4,"look","forward","to","seeing"
"501",221,4,"to","do","the","same"
"502",221,4,"to","learn","more","about"
"503",221,4,"you","want","to","do"
