"","count","n","col3","col2","col1","output"
"785",169,4,"anything","to","do","with"
"786",169,4,"do","you","know","what"
"787",169,4,"i","didnâ","t","want"
"788",169,4,"know","what","it","is"
"789",169,4,"of","the","fact","that"
"790",169,4,"that","one","of","the"
"791",169,4,"to","all","of","the"
"792",169,4,"you","want","to","know"
"793",168,4,"a","good","idea","to"
"794",168,4,"couple","of","weeks","ago"
"795",168,4,"have","to","be","a"
"796",168,4,"he","said","he","was"
"797",168,4,"so","proud","of","you"
"798",168,4,"the","best","of","the"
"799",168,4,"to","look","forward","to"
"800",168,4,"we","have","a","lot"
"801",168,4,"why","is","it","that"
"802",167,4,"as","a","matter","of"
"803",167,4,"for","all","of","the"
"804",167,4,"hour","and","a","half"
"805",167,4,"make","the","most","of"
"806",167,4,"need","to","go","to"
"807",167,4,"that","this","is","a"
"808",167,4,"to","the","rest","of"
"809",166,4,"at","the","center","of"
"810",166,4,"at","the","heart","of"
"811",166,4,"cant","wait","to","see"
"812",166,4,"great","to","meet","you"
"813",166,4,"i","donâ","t","like"
"814",166,4,"if","you","are","interested"
"815",166,4,"in","a","few","weeks"
"816",166,4,"right","in","front","of"
"817",166,4,"want","to","do","is"
"818",165,4,"a","very","long","time"
"819",165,4,"do","the","right","thing"
"820",165,4,"for","a","little","while"
"821",165,4,"i","want","to","get"
"822",165,4,"if","i","want","to"
"823",165,4,"no","matter","how","much"
"824",165,4,"over","the","next","few"
"825",165,4,"the","story","of","the"
"826",165,4,"to","go","to","school"
"827",165,4,"you","had","a","great"
"828",164,4,"be","able","to","make"
"829",164,4,"i","know","i","know"
"830",164,4,"in","the","world","and"
"831",164,4,"mothers","day","to","all"
"832",164,4,"the","fact","that","it"
"833",164,4,"will","be","the","first"
"834",164,4,"year","and","a","half"
"835",163,4,"i","want","to","make"
"836",163,4,"one","of","these","days"
"837",163,4,"there","was","a","lot"
"838",163,4,"this","is","a","very"
"839",163,4,"to","catch","up","on"
"840",162,4,"a","few","of","my"
"841",162,4,"and","i","had","a"
"842",162,4,"and","of","course","the"
"843",162,4,"as","soon@possible",NA,NA
"844",162,4,"for","a","lot","of"
"845",162,4,"i","just","had","to"
"846",162,4,"the","next","couple","of"
"847",162,4,"wish","i","could","be"
"848",162,4,"would","love","to","have"
"849",162,4,"you","are","looking","for"
"850",161,4,"and","i","wanted","to"
"851",161,4,"i","had","a","great"
"852",161,4,"in","an","e","mail"
"853",161,4,"in","the","bay","area"
"854",161,4,"not","to","mention","the"
"855",161,4,"thank","you","all","for"
"856",161,4,"thanks","for","following","us"
"857",161,4,"think","it","would","be"
"858",161,4,"us","know","if","you"
"859",160,4,"a","great","time","at"
"860",160,4,"am","looking","forward","to"
"861",160,4,"end","of","the","world"
"862",160,4,"have","the","ability","to"
"863",160,4,"i","really","wanted","to"
"864",160,4,"i","want","to","know"
"865",160,4,"in","the","heart","of"
"866",160,4,"keep","an","eye","out"
"867",160,4,"of","the","block","of"
"868",160,4,"one","of","those","days"
"869",160,4,"the","second","half","of"
"870",160,4,"to","some","of","the"
"871",160,4,"want","to","make","sure"
"872",160,4,"you","have","any","questions"
"873",160,4,"you","need","to","do"
"874",159,4,"but","i","have","a"
"875",159,4,"for","more","information","call"
"876",159,4,"from","the","university","of"
"877",159,4,"give","it","a","try"
"878",159,4,"have","a","great","week"
"879",159,4,"i","came","up","with"
"880",159,4,"i","hate","when","people"
"881",159,4,"i","have","a","few"
"882",159,4,"i","hope","you","are"
"883",159,4,"in","need","of","a"
"884",159,4,"is","what","it","is"
"885",159,4,"it","was","a","very"
"886",159,4,"it","was","nice","to"
"887",159,4,"made","it","to","the"
"888",159,4,"over","the","past","year"
"889",159,4,"they","were","going","to"
"890",159,4,"time","of","the","year"
"891",159,4,"to","find","out","what"
"892",158,4,"by","the","time","the"
"893",158,4,"get","a","lot","of"
"894",158,4,"i","think","i","can"
"895",158,4,"i","was","looking","for"
"896",158,4,"in","the","past","year"
"897",158,4,"know","what","i","mean"
"898",158,4,"me","know","what","you"
"899",158,4,"now","i","have","to"
"900",158,4,"so","much","to","do"
"901",158,4,"what","it","means","to"
"902",157,4,"am","i","going","to"
"903",157,4,"are","more","likely","to"
"904",157,4,"canâ","t","wait","to"
"905",157,4,"he","and","his","wife"
"906",157,4,"i","think","i","am"
"907",157,4,"is","it","just","me"
"908",157,4,"let","us","know","what"
"909",157,4,"on","the","verge","of"
"910",157,4,"on","top","of","that"
"911",157,4,"square","feet","on","for"
"912",157,4,"to","stay","in","the"
"913",157,4,"who","is","going","to"
"914",157,4,"you","need","to","know"
"915",157,4,"â","œitâ","s","a"
